Economy_Label,CargoType_Label,2016_Metric_tons_in_thousands_Value,2017_Metric_tons_in_thousands_Value,2018_Metric_tons_in_thousands_Value,2019_Metric_tons_in_thousands_Value,2020_Metric_tons_in_thousands_Value,2021_Metric_tons_in_thousands_Value
"Turks and Caicos Islands","Total goods discharged",,,,,,
"Tuvalu","Total goods loaded",7,5,18,14,9,20
"Tuvalu","Total goods discharged",,,,,,
"Uganda","Total goods loaded",591,659,849,839,968,1113
"Uganda","Total goods discharged",3629,4012,3883,4089,4257,4814
"Ukraine","Total goods loaded",77505,78906,81712,85873,80516,82541
"Ukraine","Total goods discharged",47437,55694,54854,56383,46074,50406
"United Arab Emirates","Total goods loaded",235710,244808,251286,271373,262186,292784
"United Arab Emirates","Total goods discharged",61375,69301,77234,148421,145573,107853
"United Kingdom","Total goods loaded",152688,161216,152812,150410,136777,127216
"United Kingdom","Total goods discharged",272828,281208,284055,275505,242966,256853
"United Republic of Tanzania","Total goods loaded",1078,1192,1159,1319,1366,1604
"United Republic of Tanzania","Total goods discharged",6923,6983,7033,7920,8217,8922
"United States","Total goods loaded",614934,689609,773745,774125,774287,883911
"United States","Total goods discharged",740625,628947,618126,573637,595865,665927
"United States Minor Outlying Islands","Total goods loaded",1,2,1,41,4,1
"United States Minor Outlying Islands","Total goods discharged",6,9,5,61,30,56
"Uruguay","Total goods loaded",,,,,,
"Uruguay","Total goods discharged",5872,5671,6335,5906,6032,6979
"Uzbekistan","Total goods loaded",3401,3863,3191,5955,4927,3981
"Uzbekistan","Total goods discharged",3637,4002,5077,5945,6234,5111
"Vanuatu","Total goods loaded",145,115,134,75,95,114
"Vanuatu","Total goods discharged",218,236,219,196,208,227
"Venezuela (Bolivarian Rep. of)","Total goods loaded",115912,95404,74083,46159,21477,11344
"Venezuela (Bolivarian Rep. of)","Total goods discharged",,,,,,
"Viet Nam","Total goods loaded",63137,73877,82854,87002,93409,103729
"Viet Nam","Total goods discharged",104863,112102,116149,152029,166243,162920
"Wallis and Futuna Islands","Total goods loaded",0,0,1,0,0,0
"Wallis and Futuna Islands","Total goods discharged",,,,,,
"Western Sahara","Total goods loaded",0,5,0,10,7,12
"Western Sahara","Total goods discharged",2,28,0,48,9,14
"Yemen","Total goods loaded",674,2434,1905,2419,2371,2689
"Yemen","Total goods discharged",7209,7485,4876,7103,8859,9101
"Zambia","Total goods loaded",1258,1451,1632,1404,1274,1434
"Zambia","Total goods discharged",3368,3808,3473,3702,2979,3179
"Zimbabwe","Total goods loaded",614,595,813,715,868,1091
"Zimbabwe","Total goods discharged",2545,2175,2816,2259,2888,3086
