Origin_Label,Destination_Label,Product_Code,TFT_Forecast_Year+1,TFT_Forecast_Year+2
United States of America,Aruba,8517,4.4327817,4.2977233
United States of America,Aruba,9404,0.57669526,0.57430655
United States of America,Australia,2106,0.35659766,0.3534683
United States of America,Australia,3304,0.6341712,0.58502096
United States of America,Australia,6109,0.47310272,0.8484698
United States of America,Australia,8517,1.6589761,2.4791262
United States of America,Australia,9404,0.6710879,0.59339213
United States of America,Austria,2106,0.77464026,0.77086115
United States of America,Austria,3304,0.82071406,0.7636336
United States of America,Austria,6109,3.9039862,3.5051436
United States of America,Austria,8517,12.140507,12.624112
United States of America,Austria,9404,1.5618899,1.3974621
United States of America,Azerbaijan,2106,0.5412013,0.54190767
United States of America,Azerbaijan,3304,1.3818114,0.9711884
United States of America,Azerbaijan,9404,0.3531182,0.35502106
United States of America,Bahamas,2106,0.14516374,0.14393781
United States of America,Bahamas,3304,0.33019745,0.34483936
United States of America,Bahamas,6109,1.8026879,1.8023977
United States of America,Bahamas,8517,33.11206,32.715416
United States of America,Bahamas,9404,0.69263214,0.703495
United States of America,Bahrain,2106,0.4784262,0.4766028
United States of America,Bahrain,3304,0.5051136,0.47291094
United States of America,Bahrain,6109,2.1836236,1.777518
United States of America,Bahrain,8517,8.034512,7.7883897
United States of America,Bahrain,9404,0.7302233,0.65718985
United States of America,Barbados,2106,0.052696887,0.04952953
United States of America,Barbados,3304,0.27116066,0.26899052
United States of America,Barbados,6109,0.97525394,0.97769964
United States of America,Barbados,8517,11.022337,11.616752
United States of America,Barbados,9404,0.51780474,0.509648
United States of America,Belarus,2106,0.14658043,0.14677067
United States of America,Belarus,3304,0.1972384,0.1639482
United States of America,Belarus,6109,1.437575,1.5339516
United States of America,Belarus,8517,11.526422,10.519182
United States of America,Belarus,9404,0.5463947,0.5421087
United States of America,Belgium,2106,0.43312508,0.43507758
United States of America,Belgium,3304,0.623022,0.61413515
United States of America,Belgium,6109,2.2107959,2.2121086
United States of America,Belgium,8517,7.755704,7.604239
United States of America,Belgium,9404,0.5498665,0.54928136
United States of America,Belize,2106,0.09322047,0.09145204
United States of America,Belize,3304,0.1327543,0.13954902
United States of America,Belize,6109,0.6498554,0.64871657
United States of America,Belize,8517,6.187979,6.175936
United States of America,Belize,9404,0.19640687,0.19664356
United States of America,Benin,9404,0.16551666,0.13985711
United States of America,Bermuda,2106,0.21241346,0.21541268
United States of America,Bermuda,3304,0.39056975,0.38676614
United States of America,Bermuda,6109,1.4424,1.4228872
United States of America,Bermuda,8517,8.568969,12.570281
United States of America,Bermuda,9404,0.48228154,0.4709016
United States of America,Bolivia (Plurinational State of),2106,0.32083645,0.3065008
United States of America,Bolivia (Plurinational State of),3304,0.47070763,0.377121
United States of America,Bolivia (Plurinational State of),6109,0.6884896,0.6602428
United States of America,Bolivia (Plurinational State of),8517,0.5316189,0.55197096
United States of America,Bolivia (Plurinational State of),9404,0.84454405,1.034116
United States of America,Botswana,2106,1.8800142,1.3328477
United States of America,Botswana,3304,0.82360035,0.6520807
United States of America,Botswana,6109,3.693588,2.9454057
United States of America,Botswana,8517,12.206354,11.937583
United States of America,Botswana,9404,0.5158987,0.66383857
United States of America,Brazil,2106,0.2160678,0.18279485
United States of America,Brazil,3304,0.41834015,0.37468648
United States of America,Brazil,6109,1.24015,1.1942782
United States of America,Brazil,8517,0.98865175,0.79677105
United States of America,Brazil,9404,0.29948166,0.31713572
United States of America,Brunei Darussalam,2106,0.30773848,0.3250183
United States of America,Brunei Darussalam,3304,0.5933667,0.55311495
United States of America,Brunei Darussalam,6109,1.6045582,1.5901699
United States of America,Brunei Darussalam,8517,27.254505,26.818733
United States of America,Bulgaria,2106,0.5266646,0.49015698
United States of America,Bulgaria,3304,0.6828125,0.6608933
United States of America,Bulgaria,6109,2.7829816,2.7058978
United States of America,Bulgaria,8517,9.936212,10.281643
United States of America,Bulgaria,9404,1.3855315,0.7368837
United States of America,Burkina Faso,2106,0.26667595,0.19738656
United States of America,Burkina Faso,3304,0.072479315,0.048811942
United States of America,Burkina Faso,8517,8.689151,8.196068
United States of America,Burkina Faso,9404,0.04627766,0.042825025
United States of America,Burundi,2106,0.23282036,0.2315028
United States of America,Burundi,6109,0.36333743,0.35253796
United States of America,Burundi,8517,7.801146,7.9954267
United States of America,Burundi,9404,0.11940802,0.117378615
United States of America,Cabo Verde,2106,0.17852208,0.18504664
United States of America,Cabo Verde,3304,0.05969424,0.057648607
United States of America,Cabo Verde,6109,0.6417566,0.629303
United States of America,Cabo Verde,8517,9.210762,8.478306
United States of America,Cabo Verde,9404,0.30753976,0.29853773
United States of America,Cambodia,2106,0.4489921,0.4481349
United States of America,Cambodia,3304,0.712029,0.6802079
United States of America,Cambodia,6109,2.837938,2.0147092
United States of America,Cambodia,8517,9.494224,12.289411
United States of America,Cameroon,2106,0.27542248,0.24826998
United States of America,Cameroon,3304,0.15680654,0.1192447
United States of America,Cameroon,6109,0.40836218,0.35133454
United States of America,Cameroon,8517,2.761037,2.3567023
United States of America,Cameroon,9404,0.15846166,0.15516785
United States of America,Cayman Islands,2106,0.10950903,0.10489241
United States of America,Cayman Islands,3304,0.5597539,0.54246885
United States of America,Cayman Islands,6109,1.3169432,1.3209326
United States of America,Cayman Islands,8517,18.338009,18.42006
United States of America,Cayman Islands,9404,0.35223538,0.36534524
United States of America,Central African Republic,2106,0.097369894,0.102602124
United States of America,Central African Republic,8517,5.8938923,3.5928726
United States of America,Chile,2106,0.21658456,0.17697108
United States of America,Chile,3304,0.2952203,0.28174517
United States of America,Chile,6109,2.0250833,2.0720124
United States of America,Chile,8517,10.701702,11.21898
United States of America,Chile,9404,0.60126203,0.49038085
United States of America,"China, Hong Kong SAR",2106,0.5539832,0.57276
United States of America,"China, Hong Kong SAR",3304,0.5133355,0.48614788
United States of America,"China, Hong Kong SAR",6109,1.36487,1.3675591
United States of America,"China, Hong Kong SAR",8517,12.644634,12.833877
United States of America,"China, Hong Kong SAR",9404,0.45006397,0.43590403
United States of America,"China, Macao SAR",2106,0.69592893,0.6809882
United States of America,"China, Macao SAR",3304,0.4530106,0.45879534
United States of America,"China, Macao SAR",6109,3.2357912,3.2490199
United States of America,"China, Macao SAR",8517,23.089485,25.280071
United States of America,"China, Macao SAR",9404,0.64170927,0.7063439
United States of America,China,2106,0.812911,0.7120497
United States of America,China,3304,0.9521464,0.64540803
United States of America,China,6109,3.6268651,2.9403586
United States of America,China,8517,9.24499,9.334071
United States of America,China,9404,0.9495346,0.80771905
United States of America,Colombia,2106,0.10922937,0.11586399
United States of America,Colombia,3304,0.8950298,0.687362
United States of America,Colombia,6109,1.6121223,0.57212496
United States of America,Colombia,8517,3.1083732,3.1414664
United States of America,Colombia,9404,0.7154845,0.6875045
United States of America,"Congo, Dem. Rep. of the",2106,0.29180348,0.2541758
United States of America,"Congo, Dem. Rep. of the",3304,0.29936713,0.3136712
United States of America,"Congo, Dem. Rep. of the",8517,4.950318,5.0227423
United States of America,"Congo, Dem. Rep. of the",9404,0.27768704,0.2698649
United States of America,Costa Rica,2106,0.23896325,0.23161626
United States of America,Costa Rica,3304,0.42960998,0.39493334
United States of America,Costa Rica,6109,1.5859076,1.0524457
United States of America,Costa Rica,8517,12.906023,13.126957
United States of America,Costa Rica,9404,0.42894882,0.4243429
United States of America,Cote d'Ivoire,2106,0.40249392,0.37858263
United States of America,Cote d'Ivoire,3304,0.31454405,0.31338674
United States of America,Cote d'Ivoire,6109,1.2308558,0.41016588
United States of America,Cote d'Ivoire,8517,5.942937,6.025203
United States of America,Cote d'Ivoire,9404,0.34336254,0.3615046
United States of America,Croatia,2106,1.1122715,1.0939499
United States of America,Croatia,3304,1.1481975,1.0295484
United States of America,Croatia,6109,3.9229684,2.5524685
United States of America,Croatia,8517,10.8721075,11.49833
United States of America,Croatia,9404,1.3308977,0.88397247
United States of America,Cyprus,2106,0.47811446,0.35725668
United States of America,Cyprus,3304,0.57768977,0.57495236
United States of America,Cyprus,6109,1.7148143,1.7901397
United States of America,Cyprus,8517,7.703886,9.163915
United States of America,Cyprus,9404,0.26695198,0.90917104
United States of America,Czechia,2106,0.40053725,0.40143642
United States of America,Czechia,3304,0.5778132,0.56513065
United States of America,Czechia,6109,2.9411004,2.871454
United States of America,Czechia,8517,7.6662908,7.696224
United States of America,Czechia,9404,1.4841073,1.2290778
United States of America,Denmark,2106,0.48423693,0.36649144
United States of America,Denmark,3304,0.691372,0.65717417
United States of America,Denmark,6109,2.2885888,2.2850657
United States of America,Denmark,8517,7.104798,7.196737
United States of America,Denmark,9404,1.5010401,1.4973042
United States of America,Dominican Republic,2106,0.2754438,0.25609565
United States of America,Dominican Republic,3304,0.36868453,0.30533022
United States of America,Dominican Republic,6109,0.48520368,0.376608
United States of America,Dominican Republic,8517,13.139924,3.174858
United States of America,Dominican Republic,9404,0.21027607,0.19506994
United States of America,Ecuador,2106,0.37836784,0.36068404
United States of America,Ecuador,3304,0.31040332,0.22102222
United States of America,Ecuador,6109,1.816853,0.91254455
United States of America,Ecuador,8517,0.9171306,0.8449814
United States of America,Ecuador,9404,0.7843318,0.7716481
United States of America,Egypt,2106,0.2344576,0.2067397
United States of America,Egypt,3304,0.626497,0.6149837
United States of America,Egypt,6109,2.262923,2.2456634
United States of America,Egypt,8517,5.360067,4.732734
United States of America,Egypt,9404,0.4770194,0.49347
United States of America,El Salvador,2106,0.28082225,0.24388857
United States of America,El Salvador,3304,0.5256019,0.3878222
United States of America,El Salvador,6109,1.7222081,1.2781405
United States of America,El Salvador,8517,5.2883525,5.499907
United States of America,El Salvador,9404,0.71726763,0.6183921
United States of America,Estonia,2106,0.79554397,0.621282
United States of America,Estonia,3304,0.6604821,0.6349481
United States of America,Estonia,6109,3.8605027,3.1636703
United States of America,Estonia,8517,12.740512,12.736957
United States of America,Estonia,9404,0.6071356,0.5726771
United States of America,Eswatini,2106,0.23358011,0.17301142
United States of America,Eswatini,3304,0.7470287,0.27115902
United States of America,Eswatini,6109,0.83832115,0.8266808
United States of America,Eswatini,8517,11.40339,10.284187
United States of America,Eswatini,9404,0.15973426,0.14282449
United States of America,Fiji,2106,0.49479327,0.4945345
United States of America,Fiji,3304,0.4439009,0.42370048
United States of America,Fiji,6109,2.2761621,2.2713802
United States of America,Fiji,8517,36.698105,36.26814
United States of America,Fiji,9404,0.56731147,0.5551003
United States of America,Finland,2106,0.7061783,0.64834213
United States of America,Finland,3304,1.0218663,0.9756283
United States of America,Finland,6109,2.3004534,2.169214
United States of America,Finland,8517,27.520344,9.780794
United States of America,Finland,9404,2.181694,1.1985116
United States of America,France,2106,0.3587945,0.35580635
United States of America,France,3304,0.92153484,0.88949704
United States of America,France,6109,2.2495396,2.1156251
United States of America,France,8517,26.169905,16.789822
United States of America,France,9404,0.8694675,0.83082503
United States of America,French Polynesia,2106,0.30854648,0.3044694
United States of America,French Polynesia,3304,0.6783986,0.67905504
United States of America,French Polynesia,6109,1.536156,1.4730194
United States of America,French Polynesia,8517,28.394041,27.376396
United States of America,French Polynesia,9404,0.564649,0.48565128
United States of America,Gambia,2106,0.04259923,0.042931188
United States of America,Gambia,3304,0.029027687,0.028283816
United States of America,Gambia,9404,0.049049437,0.048340518
United States of America,Georgia,2106,0.73488975,0.76765573
United States of America,Georgia,3304,0.36540073,0.3209751
United States of America,Georgia,6109,1.32943,1.0868067
United States of America,Georgia,8517,6.368715,6.3743443
United States of America,Georgia,9404,0.4598387,0.37745342
United States of America,Germany,2106,0.38685957,0.34798682
United States of America,Germany,3304,0.8045864,0.8062747
United States of America,Germany,6109,2.3006716,2.2928789
United States of America,Germany,8517,12.400838,12.431154
United States of America,Germany,9404,0.6901696,0.7125454
United States of America,Ghana,2106,0.30895868,0.24339017
United States of America,Ghana,3304,0.082226746,0.06979427
United States of America,Ghana,6109,0.5693578,0.6154733
United States of America,Ghana,8517,4.8914976,4.758432
United States of America,Ghana,9404,0.2839015,0.25536245
United States of America,Greece,2106,0.33346024,0.3545635
United States of America,Greece,3304,0.61501646,0.6029604
United States of America,Greece,6109,2.30912,1.5618038
United States of America,Greece,8517,12.371071,11.883396
United States of America,Greece,9404,0.692155,0.46815938
United States of America,Greenland,2106,0.5161481,0.4396673
United States of America,Greenland,8517,22.890495,23.186802
United States of America,Grenada,2106,0.12792149,0.10609842
United States of America,Grenada,3304,0.31152758,0.29079103
United States of America,Grenada,6109,1.6648842,1.4252908
United States of America,Grenada,8517,4.3355265,4.529432
United States of America,Grenada,9404,0.41123334,0.5005979
United States of America,Guatemala,2106,0.27728835,0.23415378
United States of America,Guatemala,3304,0.46258542,0.42516908
United States of America,Guatemala,6109,0.87067837,0.8772981
United States of America,Guatemala,8517,7.0543175,7.278269
United States of America,Guatemala,9404,0.3750906,0.367414
United States of America,Guinea,2106,0.020002663,0.019042889
United States of America,Guinea,3304,0.06389731,0.0610521
United States of America,Guinea,6109,14.332664,14.363151
United States of America,Guinea,8517,2.668597,2.6984854
United States of America,Guinea,9404,0.028078115,0.028260965
United States of America,Guyana,2106,0.19541043,0.17002323
United States of America,Guyana,3304,0.17107952,0.17347491
United States of America,Guyana,6109,1.3192347,0.78244406
United States of America,Guyana,8517,3.05549,3.3489156
United States of America,Guyana,9404,0.467005,0.4860851
United States of America,Honduras,2106,0.21771781,0.20113312
United States of America,Honduras,3304,0.37171236,0.29507673
United States of America,Honduras,6109,0.53239304,0.5368731
United States of America,Honduras,8517,4.529763,2.0589306
United States of America,Honduras,9404,0.31209525,0.27101436
United States of America,Hungary,2106,0.70321965,0.6704579
United States of America,Hungary,3304,0.5220756,0.47558004
United States of America,Hungary,6109,3.179806,3.1658072
United States of America,Hungary,8517,12.24022,10.192111
United States of America,Hungary,9404,0.83547544,0.80879295
United States of America,Iceland,2106,1.0848885,1.0356632
United States of America,Iceland,3304,1.0398252,0.9256722
United States of America,Iceland,6109,4.9993343,3.2764914
United States of America,Iceland,8517,16.095924,15.638666
United States of America,Iceland,9404,1.3971933,1.2448356
United States of America,India,2106,0.54509556,0.536158
United States of America,India,3304,0.7100876,0.5366994
United States of America,India,6109,2.2681763,2.2601264
United States of America,India,8517,10.035699,10.246034
United States of America,India,9404,1.0363183,1.0257597
United States of America,Indonesia,2106,0.56784976,0.5340822
United States of America,Indonesia,3304,0.6218464,0.6261902
United States of America,Indonesia,6109,2.9208279,2.8723412
United States of America,Indonesia,8517,5.1885924,5.266301
United States of America,Indonesia,9404,1.2297995,1.2184385
United States of America,Iran (Islamic Republic of),2106,0.86608577,0.84106594
United States of America,Ireland,2106,0.6207168,0.53647906
United States of America,Ireland,3304,0.6004797,0.57443035
United States of America,Ireland,6109,2.1574488,2.1613865
United States of America,Ireland,8517,8.796311,9.0416765
United States of America,Ireland,9404,0.7489504,0.6451568
United States of America,Israel,2106,0.27472237,0.22369824
United States of America,Israel,3304,0.50640714,0.43468994
United States of America,Israel,6109,1.4981625,1.493272
United States of America,Israel,8517,10.104268,10.369878
United States of America,Israel,9404,0.51493156,0.56131566
United States of America,Italy,2106,0.39302868,0.3731088
United States of America,Italy,3304,0.55914366,0.5658691
United States of America,Italy,6109,3.7443678,3.662912
United States of America,Italy,8517,11.17492,11.001008
United States of America,Italy,9404,0.84284526,1.3557299
United States of America,Jamaica,2106,0.124711335,0.12704214
United States of America,Jamaica,3304,0.21179673,0.20512807
United States of America,Jamaica,6109,1.2941736,1.1257696
United States of America,Jamaica,8517,4.24815,4.199383
United States of America,Jamaica,9404,0.57356405,0.4900705
United States of America,Japan,2106,0.69378376,0.62093925
United States of America,Japan,3304,0.7873471,0.77499026
United States of America,Japan,6109,2.8788586,2.807082
United States of America,Japan,8517,8.02322,8.102778
United States of America,Japan,9404,0.7529735,0.6519082
United States of America,Kazakhstan,2106,0.7046744,0.6193733
United States of America,Kazakhstan,3304,0.59253186,0.5527257
United States of America,Kazakhstan,6109,3.5177448,3.6525545
United States of America,Kazakhstan,8517,13.845785,15.114465
