Origin_Label,Destination_Label,Product_Code,Year_label,XGB_Forecast
Albania,Hungary,8517,2022,48.762592
Albania,Hungary,9404,2022,18.917828
Albania,Iceland,6109,2022,4.0808296
Albania,Iceland,8517,2022,24.662548
Albania,India,8517,2022,49.201286
Albania,Indonesia,6109,2022,9.272701
Albania,Indonesia,8517,2022,47.230957
Albania,Ireland,2106,2022,2.1118777
Albania,Ireland,3304,2022,2.5250795
Albania,Ireland,6109,2022,5.2476077
Albania,Ireland,8517,2022,40.06579
Albania,Israel,2106,2022,1.0199238
Albania,Israel,6109,2022,2.669284
Albania,Italy,2106,2022,1.2744846
Albania,Italy,3304,2022,1.781139
Albania,Italy,6109,2022,2.637105
Albania,Italy,8517,2022,27.687378
Albania,Italy,9404,2022,19.002409
Albania,Japan,6109,2022,8.48976
Albania,Japan,8517,2022,14.612387
Albania,Jordan,8517,2022,29.720173
Albania,Jordan,9404,2022,19.002312
Albania,Kazakhstan,6109,2022,4.609961
Albania,Kenya,2106,2022,2.0627468
Albania,Kenya,6109,2022,2.7735777
Albania,"Korea, Republic of",2106,2022,2.9287045
Albania,"Korea, Republic of",3304,2022,3.065257
Albania,"Korea, Republic of",6109,2022,8.994494
Albania,"Korea, Republic of",8517,2022,34.2095
Albania,Kuwait,2106,2022,1.8126671
Albania,Kuwait,3304,2022,5.6511087
Albania,Kuwait,6109,2022,6.681268
Albania,Kuwait,8517,2022,26.66501
Albania,Kyrgyzstan,6109,2022,4.4643593
Albania,Lebanon,6109,2022,4.30065
Albania,Lebanon,8517,2022,24.607933
Albania,Lithuania,6109,2022,8.182408
Albania,Luxembourg,2106,2022,1.0849298
Albania,Luxembourg,6109,2022,3.3797092
Albania,Luxembourg,9404,2022,18.92156
Albania,Malaysia,8517,2022,44.358017
Albania,Mali,2106,2022,0.9847925
Albania,Mali,8517,2022,27.260313
Albania,Mali,9404,2022,18.883165
Albania,Malta,6109,2022,4.4459157
Albania,Malta,8517,2022,32.11049
Albania,Malta,9404,2022,18.830158
Albania,Mauritania,8517,2022,24.665375
Albania,Mauritania,9404,2022,18.837036
Albania,Mauritius,2106,2022,2.1821072
Albania,Mauritius,6109,2022,3.4567528
Albania,Mauritius,8517,2022,24.665375
Albania,"Moldova, Republic of",6109,2022,3.9268742
Albania,"Moldova, Republic of",8517,2022,42.018173
Albania,"Moldova, Republic of",9404,2022,27.949581
Albania,Mongolia,6109,2022,20.07418
Albania,Montenegro,2106,2022,0.73258656
Albania,Montenegro,3304,2022,2.4370508
Albania,Montenegro,6109,2022,4.1987586
Albania,Montenegro,8517,2022,48.880196
Albania,Montenegro,9404,2022,18.872969
Albania,Morocco,2106,2022,1.2615585
Albania,Morocco,6109,2022,5.2722144
Albania,Morocco,8517,2022,24.577345
Albania,Mozambique,9404,2022,22.433853
Albania,Myanmar,6109,2022,3.944998
Albania,Nepal,6109,2022,4.6437798
Albania,Netherlands (Kingdom of the),2106,2022,2.1821072
Albania,Netherlands (Kingdom of the),3304,2022,4.150071
Albania,Netherlands (Kingdom of the),6109,2022,5.2351413
Albania,Netherlands (Kingdom of the),8517,2022,33.122112
Albania,Netherlands (Kingdom of the),9404,2022,19.789457
Albania,New Zealand,6109,2022,2.6135426
Albania,New Zealand,8517,2022,26.391617
Albania,New Zealand,9404,2022,18.883165
Albania,Niger,8517,2022,24.76905
Albania,North Macedonia,2106,2022,0.8507047
Albania,North Macedonia,6109,2022,2.8413155
Albania,North Macedonia,8517,2022,7.6835847
Albania,North Macedonia,9404,2022,18.917828
Albania,Norway,3304,2022,4.858715
Albania,Norway,6109,2022,6.396462
Albania,Norway,8517,2022,25.013847
Albania,Norway,9404,2022,19.588614
Albania,Oman,6109,2022,5.0185604
Albania,Oman,8517,2022,31.5631
Albania,Oman,9404,2022,18.837036
Albania,Pakistan,8517,2022,28.433208
Albania,Panama,3304,2022,1.3420408
Albania,Panama,6109,2022,5.033694
Albania,Paraguay,3304,2022,3.0680823
Albania,Paraguay,6109,2022,8.207101
Albania,Paraguay,9404,2022,18.83421
Albania,Peru,6109,2022,1.6311533
Albania,Philippines,2106,2022,1.0715946
Albania,Philippines,6109,2022,3.1809614
Albania,Philippines,8517,2022,33.554848
Albania,Poland,2106,2022,0.7460257
Albania,Poland,3304,2022,2.5222542
Albania,Poland,6109,2022,6.2570834
Albania,Poland,8517,2022,48.812332
Albania,Qatar,3304,2022,1.1116811
Albania,Qatar,6109,2022,3.7070591
