Economy_Label,Q1 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value
"Guatemala",92.53,99.17,96.03,100.23,95.34,101.27
"Guinea",39.87,36.01,32.91,33.97,31.57,20.4
"Guinea-Bissau",12.19,10.06,12.75,10.88,10.81,9.76
"Guyana",39.62,39.15,42.18,37.25,36.5,35.44
"Haiti",43,42.55,34.26,41.69,37.3,36.03
"Honduras",65.5,70.38,61.94,59.85,48.15,53.55
"Iceland",19.6,17.09,21.79,21.53,21.24,23.69
"India",249.89,254.64,257.57,242.56,248.5,267.93
"Indonesia",222.61,206.87,233.36,228.03,228.78,196
"Iran (Islamic Republic of)",121.92,103.48,103.13,51.97,46.52,57.14
"Iraq",33.6,53.12,63.43,64.72,70.94,76.44
"Ireland",57.35,51.28,52.59,56.59,51.11,55.14
"Israel",112.85,114.04,115.25,110.92,111.28,119.61
"Italy",291.63,292.05,289.12,282.88,268.66,262.04
"Jamaica",95.7,101.87,96.48,100.02,102.82,112.74
"Japan",431.7,401.1,396.56,411.51,411.53,402.42
"Jordan",67.12,66.26,72.09,71.27,67.94,71.34
"Kenya",56.21,58.12,60.43,70.92,60.63,57.63
"Kiribati",16.15,14.99,15.04,5.05,15.18,15.12
"Kuwait",32.64,26.38,34.97,43.35,37.06,34.31
"Latvia",31.62,26.73,31.01,33.81,34.15,31.87
"Lebanon",101.55,92.22,100.7,103.89,99.64,97.63
"Liberia",23.45,19.48,17.97,21.41,22.56,14.62
"Libya",57.66,47.67,56.43,55.97,54.79,53.02
"Lithuania",45.25,35.15,47.77,63.47,49.67,45.24
"Madagascar",38.8,34.64,31.06,28.22,31.38,24.49
"Malaysia",477.56,471.55,468.78,449.86,470.99,477.96
"Maldives",19.35,18.21,18.08,19.52,19.28,18.36
"Malta",144.31,135.56,139.75,139.31,115.18,121.78
"Marshall Islands",21.13,19.97,22.86,15.44,22.56,23.24
"Martinique",24.02,32.71,36.34,31.73,40.33,45.34
"Mauritania",21.13,26.32,37.17,30.52,24.58,26.56
"Mauritius",76.62,72.09,68.5,72.87,73.95,68.35
"Mayotte",30.19,21.28,20.17,18.1,19.96,16.39
"Mexico",173.38,160.31,164.2,167.2,178.85,179.28
"Micronesia (Federated States of)",7.65,8.05,6.19,12.83,12.83,14.97
"Montenegro",13.17,12.09,10.41,9.42,15.47,15.01
"Montserrat",10.87,14,13.99,13.99,13.99,13.99
"Morocco",201.7,210.05,242.27,199.3,215.75,220.15
"Mozambique",43.96,36.92,41.4,36.39,44.06,52.49
"Myanmar",50.95,45.38,45.19,34.04,39.84,39.95
"Namibia",59.61,47.21,44.39,42.74,42.15,36.49
"Nauru",6.86,4.53,4.32,5,4.32,
"Netherlands (Kingdom of the)",396.54,391.14,407.95,411.17,407.27,402.96
"Netherlands Antilles",,,,,,
"New Caledonia",46.09,45.3,41.61,36.12,38.42,39.33
"New Zealand",89.89,104.7,100.84,91.89,89.23,90.27
"Nicaragua",24.72,24.72,26.76,21.05,22.33,30.4
"Nigeria",104.63,92.1,81.6,78.09,83.55,80.5
"Niue",,,,,,5.76
"Norfolk Island",3.88,3.9,5.05,2.5,2.5,2.5
"Northern Mariana Islands",13.02,23.1,16.46,16.59,16.38,15.55
"Norway",59.64,53.87,48.9,60.36,70.11,67.02
"Oman",148.51,138.31,157.05,152.62,143.81,146.52
"Pakistan",130.02,115.53,128.7,112.08,118.55,131.1
"Palau",,9.23,9.26,8.55,8.35,7.56
"Panama",204.28,195.4,188.17,182.99,187.82,193.47
"Papua New Guinea",45.45,47.82,46.26,44.61,43.55,46.04
"Paraguay",4.45,4.45,4.45,6.67,8.76,8.76
"Peru",108.13,117.44,114.91,122.51,120.5,115.51
"Philippines",159.97,170.94,170.76,172.51,163.11,147.36
"Poland",101.78,105.1,116.94,120.08,132.24,125.76
"Portugal",158.85,164.53,166.29,179.9,147.8,161.35
"Puerto Rico",42.51,44.72,39.9,48.51,46.17,49.19
"Qatar",45.41,53.47,83.13,88.19,85.69,96.77
"Republic of Korea",536.18,528.12,545.63,556.09,558.91,552.78
"Republic of Moldova",3.65,3.65,3.65,3.64,3.07,3.07
"Reunion",54.45,59.91,58.27,44.93,53.91,47.22
"Romania",65.79,62.19,65.09,60.23,57.94,61.3
"Russian Federation",229.87,210.37,207.4,199.66,181.33,179.27
"Saint Kitts and Nevis",21.51,23.23,26.05,25.38,21.94,17.62
"Saint Lucia",31.43,27.52,26.69,23.17,21.13,21.1
"Saint Vincent and the Grenadines",33.73,32.15,26.54,23.83,25.19,25.15
"Samoa",27.2,24.2,25.22,29,30.46,32.56
"Sao Tome and Principe",15.46,14.76,12.04,15.49,12.77,12.77
